sas_column,description,data_type,worksheet_code,worksheet_name,line_num,column_num,column_header,category,subcategory
E3_3_HOS_C1_9,Hospital | Line 9 | Col 1,NUMERIC,E30A183,"E-3, Part III: Settlement - Hospital",00900,00100,Amount,nan,nan
E3_3_IRF_C1_11,Inpatient Rehabilitation Facility | Line 11 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",01100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_12,Inpatient Rehabilitation Facility | Line 12 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",01200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_14,Inpatient Rehabilitation Facility | Line 14 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",01400,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_15,Inpatient Rehabilitation Facility | Line 15 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",01500,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_16,Inpatient Rehabilitation Facility | Line 16 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",01600,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_18,Inpatient Rehabilitation Facility | Line 18 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",01800,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_28,Inpatient Rehabilitation Facility | Line 28 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",02800,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_30,Inpatient Rehabilitation Facility | Line 30 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",03000,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_34,Inpatient Rehabilitation Facility | Line 34 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",03400,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_5,Inpatient Rehabilitation Facility | Line 5 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",00500,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_51,Inpatient Rehabilitation Facility | Line 51 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",05100,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_52,Inpatient Rehabilitation Facility | Line 52 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",05200,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_53,Inpatient Rehabilitation Facility | Line 53 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",05300,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_6,Inpatient Rehabilitation Facility | Line 6 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",00600,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_7,Inpatient Rehabilitation Facility | Line 7 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",00700,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_8,Inpatient Rehabilitation Facility | Line 8 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",00800,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_3_IRF_C1_9,Inpatient Rehabilitation Facility | Line 9 | Col 1,NUMERIC,E30C183,"E-3, Part III: Settlement - IRF",00900,00100,Amount,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan
E3_4_HOS_C1_102,Hospital | Line 1.02 | Col 1,UNKNOWN,,,102,1,,nan,nan
E3_4_HOS_C1_103,Hospital | Line 1.03 | Col 1,UNKNOWN,,,103,1,,nan,nan
E3_4_HOS_C1_18,Hospital | Line 18 | Col 1,NUMERIC,E30A184,"E-3, Part IV: Settlement - Hospital",01800,00100,Amount,nan,nan
E3_4_HOS_C1_19,Hospital | Line 19 | Col 1,NUMERIC,E30A184,"E-3, Part IV: Settlement - Hospital",01900,00100,Amount,nan,nan
E3_4_HOS_C1_20,Hospital | Line 20 | Col 1,NUMERIC,E30A184,"E-3, Part IV: Settlement - Hospital",02000,00100,Amount,nan,nan
E3_4_HOS_C1_2150,Hospital | Line 21.50 | Col 1,UNKNOWN,,,2150,1,,nan,nan
E3_4_HOS_C1_2199,Hospital | Line 21.99 | Col 1,UNKNOWN,,,2199,1,,nan,nan
E3_4_HOS_C1_24,Hospital | Line 24 | Col 1,NUMERIC,E30A184,"E-3, Part IV: Settlement - Hospital",02400,00100,Amount,nan,nan
E3_4_HOS_C1_26,Hospital | Line 26 | Col 1,NUMERIC,E30A184,"E-3, Part IV: Settlement - Hospital",02600,00100,Amount,nan,nan
E3_4_HOS_C1_4,Hospital | Line 4 | Col 1,NUMERIC,E30A184,"E-3, Part IV: Settlement - Hospital",00400,00100,Amount,nan,nan
E3_4_HOS_C1_5,Hospital | Line 5 | Col 1,NUMERIC,E30A184,"E-3, Part IV: Settlement - Hospital",00500,00100,Amount,nan,nan
E3_4_HOS_C1_51,Hospital | Line 51 | Col 1,NUMERIC,E30A184,"E-3, Part IV: Settlement - Hospital",05100,00100,Amount,nan,nan
