sas_column,worksheet,worksheet_code,line_raw,line,col_raw,col,line_name,col_name,category,subcategory,data_type,status
rpt_rec_num,,,,,,,Report Record Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
prvdr_num,,,,,,,Hospital Provider Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fi_num,,,,,,,Fiscal Intermediary Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
rpt_stus_cd,,,,,,,Report Status Code,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fi_creat_dt,,,,,,,Fiscal Intermediary/MAC Create Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fy_bgn_dt,,,,,,,Fiscal Year Begin Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fy_end_dt,,,,,,,Fiscal Year End Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
util_cd,,,,,,,"Utilization Code (F=Full, L=Low Medicare)",,,,ID,ID_FIELD
trnsmtl_num,,,,,,,Transmittal Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
proc_dt,,,,,,,Processing Date,,,,ID,ID_FIELD
msa,,,,,,,Metropolitan Statistical Area Code,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
_NAME_,,,,,,,SAS Internal Row Identifier,,,,ID,ID_FIELD
A7_1_C2_8,"A-7, Part I: Capital Assets",A700001,00800,8,00200,2,Subtotal,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Purchases,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Purchases,NUMERIC,COMPLETE
A7_1_C3_8,"A-7, Part I: Capital Assets",A700001,00800,8,00300,3,Subtotal,Cost of Assets (Historical),ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Donations,NUMERIC,COMPLETE
A7_1_C5_8,"A-7, Part I: Capital Assets",A700001,00800,8,00500,5,Subtotal,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Disposals and Retirements,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Disposals and Retirements,NUMERIC,COMPLETE
A7_1_C7_8,"A-7, Part I: Capital Assets",A700001,00800,8,00700,7,Subtotal,Accumulated Depreciation,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Fully Depreciated Assets,NUMERIC,COMPLETE
A7_1_C1_10,"A-7, Part I: Capital Assets",A700001,01000,10,00100,1,Total,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Beginning Balances,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Beginning Balances,NUMERIC,COMPLETE
A7_1_C2_10,"A-7, Part I: Capital Assets",A700001,01000,10,00200,2,Total,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Purchases,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Purchases,NUMERIC,COMPLETE
A7_1_C3_10,"A-7, Part I: Capital Assets",A700001,01000,10,00300,3,Total,Cost of Assets (Historical),ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Donations,NUMERIC,COMPLETE
A7_1_C5_10,"A-7, Part I: Capital Assets",A700001,01000,10,00500,5,Total,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Disposals and Retirements,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Disposals and Retirements,NUMERIC,COMPLETE
A7_1_C7_10,"A-7, Part I: Capital Assets",A700001,01000,10,00700,7,Total,Accumulated Depreciation,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Fully Depreciated Assets,NUMERIC,COMPLETE
A7_3_C5_1,"A-7, Part III: Capital Assets",A700003,00100,1,00500,5,New Cap Related Csts Bldg & Fixtures,RECONCILIATION OF CAPITAL COST CENTERS - Insurance,RECONCILIATION OF CAPITAL COST CENTERS,Insurance,ROLLUP,COMPLETE
A7_3_C6_1,"A-7, Part III: Capital Assets",A700003,00100,1,00600,6,New Cap Related Csts Bldg & Fixtures,RECONCILIATION OF CAPITAL COST CENTERS - Taxes,RECONCILIATION OF CAPITAL COST CENTERS,Taxes,ROLLUP,COMPLETE
A7_3_C7_1,"A-7, Part III: Capital Assets",A700003,00100,1,00700,7,New Cap Related Csts Bldg & Fixtures,RECONCILIATION OF CAPITAL COST CENTERS - Other Capital Related Costs,RECONCILIATION OF CAPITAL COST CENTERS,Other Capital Related Costs,ROLLUP,COMPLETE
A7_3_C9_1,"A-7, Part III: Capital Assets",A700003,00100,1,00900,9,New Cap Related Csts Bldg & Fixtures,RECONCILIATION OF CAPITAL COST CENTERS - Depreciation,RECONCILIATION OF CAPITAL COST CENTERS,Depreciation,ROLLUP,COMPLETE
A7_3_C10_1,"A-7, Part III: Capital Assets",A700003,00100,1,01000,10,New Cap Related Csts Bldg & Fixtures,RECONCILIATION OF CAPITAL COST CENTERS - Lease,RECONCILIATION OF CAPITAL COST CENTERS,Lease,ROLLUP,COMPLETE
A7_3_C11_1,"A-7, Part III: Capital Assets",A700003,00100,1,01100,11,New Cap Related Csts Bldg & Fixtures,RECONCILIATION OF CAPITAL COST CENTERS - Interest,RECONCILIATION OF CAPITAL COST CENTERS,Interest,ROLLUP,COMPLETE
A7_3_C15_1,"A-7, Part III: Capital Assets",A700003,00100,1,01500,15,New Cap Related Csts Bldg & Fixtures,RECONCILIATION OF CAPITAL COST CENTERS - Total,RECONCILIATION OF CAPITAL COST CENTERS,Total,ROLLUP,COMPLETE
A7_3_C5_2,"A-7, Part III: Capital Assets",A700003,00200,2,00500,5,New Cap Related Csts Movable Equipment,RECONCILIATION OF CAPITAL COST CENTERS - Insurance,RECONCILIATION OF CAPITAL COST CENTERS,Insurance,ROLLUP,COMPLETE
A7_3_C6_2,"A-7, Part III: Capital Assets",A700003,00200,2,00600,6,New Cap Related Csts Movable Equipment,RECONCILIATION OF CAPITAL COST CENTERS - Taxes,RECONCILIATION OF CAPITAL COST CENTERS,Taxes,ROLLUP,COMPLETE
A7_3_C7_2,"A-7, Part III: Capital Assets",A700003,00200,2,00700,7,New Cap Related Csts Movable Equipment,RECONCILIATION OF CAPITAL COST CENTERS - Other Capital Related Costs,RECONCILIATION OF CAPITAL COST CENTERS,Other Capital Related Costs,ROLLUP,COMPLETE
A7_3_C9_2,"A-7, Part III: Capital Assets",A700003,00200,2,00900,9,New Cap Related Csts Movable Equipment,RECONCILIATION OF CAPITAL COST CENTERS - Depreciation,RECONCILIATION OF CAPITAL COST CENTERS,Depreciation,ROLLUP,COMPLETE
